isolate	year
2183|OXC5820	2011
2184|OXC5821	2011
2185|OXC5822	2011
2186|OXC5823	2011
2188|OXC5825	2011
2189|OXC5826	2011
2191|OXC5828	2011
2192|OXC5829	2011
2193|OXC5830	2011
2195|OXC5832	2011
2198|OXC5933	2011
2199|OXC5934	2011
2200|OXC5885	2011
2201|OXC5886	2011
2202|OXC5887	2011
2204|OXC5889	2011
2205|OXC5890	2011
2206|OXC5891	2011
2207|OXC5892	2011
2210|OXC5895	2011
2212|OXC5897	2011
2213|OXC5898	2011
2214|OXC5899	2011
2215|OXC5900	2011
2216|OXC5902	2011
2217|OXC5903	2011
2219|OXC5905	2011
2220|OXC5906	2011
2221|OXC5907	2011
2223|OXC5909	2011
2224|OXC5910	2011
2225|OXC5911	2011
2227|OXC5914	2011
2228|OXC5915	2011
2229|OXC5916	2011
2230|OXC5917	2011
2231|OXC5918	2011
2232|OXC5937	2011
2235|OXC5940	2011
2236|OXC5941	2011
2237|OXC5921	2011
2240|OXC5924	2011
2241|OXC5925	2011
2242|OXC5926	2011
2243|OXC5927	2011
2244|OXC5928	2011
2245|OXC5929	2011
2246|OXC5930	2011
2247|OXC5931	2011
2254|Seal1	2011
2256|B3	2005
2257|B4	2005
2258|C1	2004
2261|C12	2004
2262|C13	2006
2265|C16	2006
2267|C3	2004
2268|C4	2004
2269|C5	2004
2270|C6	2004
2274|D1	2006
2277|H11	1998
2280|H14	1999
2281|H15	1999
2283|H17	2000
2284|H18	2000
2285|H19	1998
2287|Seal2	2011
2290|H23	2005
2293|H26	2005
2294|H27	2005
2295|H28	2005
2296|H29	2005
2300|H32	2005
2323|W10	2004
2324|W11	2004
2325|W12	2004
2327|W14	2004
2329|W16	2004
2331|W18	2005
2336|W22	2007
2339|W25	2007
2370|Seal11	2011
2374|Seal26	2011
2375|Seal28	2011
2376|Seal29	2011
2377|Seal30	2011
2378|Seal31	2011
2379|Seal32	2011
2380|Seal34	2011
2381|Seal37	2011
2382|Seal39	2011
2383|Seal42	2011
2384|Seal43	2011
2385|Seal45	2011
2386|Seal46	2011
2387|Seal48	2011
2388|Seal52	2011
2390|Seal56	2011
2396|Seal72	2011
2397|Seal73	2011
2398|Seal76	2011
2401|Seal81	2011
2402|Seal82	2011
2403|Seal85	2011
2404|Seal87	2011
2405|Seal88	2011
2406|Seal90	2011
2407|Seal91	2011
2408|Seal92	2011
2409|Seal95	2011
2410|Seal97	2011
2411|Seal98	2011
2412|Seal99	2011
2413|Seal100	2011
2414|Seal101	2011
2415|Seal102	2011
2416|Seal107	2011
2419|Seal113	2011
2420|Seal116	2011
2421|Seal117	2011
2422|Seal118	2011
2424|Seal122	2011
2425|Seal123	2011
2426|Seal124	2011
2427|Seal126	2011
2430|Seal132	2011
2431|Seal133	2011
2432|Seal135	2011
2433|Seal138	2011
2435|Seal142	2011
2436|Seal146	2011
2437|Seal147	2011
2438|Seal149	2011
2439|Seal151	2011
2441|Seal156	2011
2442|Seal161	2011
2443|Seal162	2011
2444|Seal165	2011
2445|Seal170	2011
2447|Seal174	2011
2448|Seal179	2011
2449|Seal181	2011
2450|Seal183	2011
2451|Seal186	2011
2452|Seal187	2011
2454|Seal190	2011
2469|RM9357	2012
2470|RM9168	2012
2471|RM8893	2012
2475|RM10985	2012
2479|RM12500	2012
2489|OXC6548	2011
2490|OXC6552	2011
2491|OXC6558	2011
2493|OXC6562	2011
2494|OXC6563	2011
2495|OXC6564	2011
2496|OXC6565	2011
2498|OXC6571	2011
2499|OXC6573	2011
2502|OXC6251	2011
2504|OXC6257	2011
2506|OXC6259	2011
2508|OXC6266	2011
2510|OXC6270	2011
2511|OXC6275	2011
2513|OXC6277	2011
2514|OXC6278	2011
2515|OXC6282	2011
2516|OXC6285	2011
2517|OXC6286	2011
2518|OXC6289	2011
2519|OXC6292	2011
2520|OXC6293	2011
2521|OXC6294	2011
2524|OXC6300	2011
2525|OXC6301	2011
2526|OXC6303	2011
2527|OXC6305	2011
2530|OXC6310	2011
2532|OXC6313	2011
2533|OXC6314	2011
2535|OXC6321	2011
2536|OXC6324	2011
2537|OXC6325	2011
